plinth_code,project_name,hrera_project_name,rera_number,registration_number,quarter_end_date,quarter_label,total_units,sold_in_quarter_units,cumulative_sold_units,cumulative_absorption_pct,capped_at_total_units
GGM-49-ELA,Elan The Statement,ELAN THE STATEMENT,GGM/1022/754/2025/125,GGM/1022/754/2025/125 DATED 12.12.2025,2026-03-31,JAN-MAR,380,170,170,44.74%,false
GGM-51-I,Orchid IVY,ORCHID IVY,GGM/597/329/2022/72,GGM/597/329/2022/72 DATED 01.08.2022,2026-03-31,JAN-MAR,152,2,38,25.00%,false
GGM-53-F,Dalcore The Falcon,DALCORE THE FALCON,GGM/913/645/2025/16,GGM/913/645/2025/16 DATED 13.02.2025,2026-03-31,JAN-MAR,100,4,26,26.00%,false
GGM-53-SOR,Godrej Sora,GODREJ SORA,GGM/976/708/2025/79,GGM/976/708/2025/79 DATED 25.08.2025,2026-03-31,JAN-MAR,248,4,15,6.05%,false
GGM-54-AST,Godrej Astra,GODREJ ASTRA,GGM/883/615/2024/110,GGM/883/615/2024/110 DATED 08.11.2024.,2026-03-31,JAN-MAR,252,0,139,55.16%,false
GGM-54-D,DLF The Dahlias,THE DAHLIAS,GGM/872/604/2024/99,GGM/872/604/2024/99 DATED 04.10.2024,2026-03-31,JAN-MAR,421,32,84,19.95%,false
GGM-54-G,DLF The Grove,THE GROVE,GGM/538/270/2022/13,GGM/538/270/2022/13 DATED 21.02.2022,2025-03-31,JAN-MAR,292,2,292,100.00%,true
GGM-56-RR,Trevoc Royal Residences,TREVOC ROYAL RESIDENCES,GGM/863/595/2024/90,GGM/863/595/2024/90 DATED 02.09.2024,2026-03-31,JAN-MAR,203,8,203,100.00%,true
GGM-59-F,Paras Floret,PARAS FLORET,GGM/628/360/2022/103,GGM/628/360/2022/103 DATED 21.11.2022,2026-03-31,JAN-MAR,101,35,101,100.00%,true
GGM-62-A,Emaar Amaris,AMARIS,GGM/885/617/2024/112,GGM/885/617/2024/112 DATED 14.11.2024,2026-03-31,JAN-MAR,522,0,56,10.73%,false
GGM-62-ER,Elevate Reserve,ELEVATE RESERVE,GGM/757/489/2023/101,GGM/757/489/2023/101 DATED 06.11.2023,2026-03-31,JAN-MAR,240,0,240,100.00%,true
GGM-62-UO,Emaar Urban Oasis,URBAN OASIS - PHASE 1 & 2,GGM/741/473/2023/85,GGM/741/473/2023/85 DATED 07.08.2023,2026-03-31,JAN-MAR,848,0,2,0.24%,false
GGM-63-SA,Adani Samsara Arya,SAMSARA VILASA & SAMSARA ARYA,GGM/647/379/2022/122,GGM/647/379/2022/122 DATED 20.12.2022,2025-12-31,OCT-DEC,105,0,105,100.00%,true
GGM-63-SA3,Adani Samsara Avasa,SAMSARA AVASA,GGM/648/380/2022/123,GGM/648/380/2022/123 DATED 20.12.2022,2025-12-31,OCT-DEC,85,0,53,62.35%,false
GGM-63A-ER,Anant The Estate Residences,THE ESTATE RESIDENCES,GGM/785/517/2024/12,GGM/785/517/2024/12 DATED 09.02.2024,2026-03-31,JAN-MAR,248,4,200,80.65%,false
GGM-63A-ISH,TARC Ishva,TARC ISHVA,GGM/865/597/2024/92,GGM/865/597/2024/92 DATED 04.09.2024,2026-03-31,JAN-MAR,611,21,276,45.17%,false
GGM-63A-KAI,TARC Kailasa,TARC ISHVA,GGM/865/597/2024/92,GGM/865/597/2024/92 DATED 04.09.2024,2026-03-31,JAN-MAR,611,21,276,45.17%,false
GGM-63A-LP,The Legacy Phase 1,THE LEGACY PHASE-I,GGM/861/593/2024/88,GGM/861/593/2024/88 DATED 16.08.2024,2026-03-31,JAN-MAR,341,3,3,0.88%,false
GGM-65-ALT,M3M Altitude,M3M ALTITUDE,GGM/821/553/2024/48,GGM/821/553/2024/48 DATED 29.04.2024,2026-03-31,JAN-MAR,342,12,255,74.56%,false
GGM-66-DOW,BPTP Downtown,DOWNTOWN-66,GGM/981/713/2025/84,GGM/981/713/2025/84 DATED 19.09.2025,2026-03-31,JAN-MAR,504,0,0,0.00%,false
